census_tract,ces_30_score,ozone,pm25,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,poverty,unemployment,housing_burden,hispanic,white,african_american,native_american,asian_american,other,pct_nonwhite
6037134800,40.938781529452,0.057293727,10.37,14.63818429,618.051446782596,14.23489209,421.7808298,880.95,7.9,6.0,0.26,2,0.0,6.46469947514575,54.87,4.84,9.71,22.8,32.0,8.9,28.9,46.7,33.5,3.7,0.3,12.9,2.9,66.5
6107000600,40.9337946224201,0.062162956,13.73,4.771931972,906.891063150672,762.7533307,205.9826908,146.59,0.4,15.0,0.0,0,14.0,6.2867707553515,26.3,4.76,7.82,60.0,77.7,12.2,24.9,92.3,5.6,0.1,0.1,1.3,0.6,94.39999999999998
6037115302,40.8913537277702,0.059636183,10.37,12.85556861,618.051446782596,0.0,479.0060086,1418.22,7.1,3.5,0.425,3,0.0,5.99440048683042,55.72,4.14,8.81,35.2,57.7,9.8,31.7,79.4,10.8,1.6,0.1,6.9,1.2,89.2
6037104203,40.8842745664879,0.057293727,11.21,16.23,618.051446782596,0.0,654.0567126,1294.45,3.5,1.8,0.045,0,0.5,5.3875732404819,71.02,5.08,7.44,50.3,63.7,14.0,26.2,90.4,1.3,6.1,0.2,1.4,0.7,98.80000000000001
6037134001,40.8666526776202,0.057293727,10.37,14.32,618.051446782596,0.013902821,396.4126378,1156.52,0.65,3.5,0.15,2,1.5,5.71912646792175,45.7,5.65,7.16,48.9,61.9,9.5,38.8,75.4,8.9,2.7,0.0,12.1,0.9,91.10000000000001
6099002902,40.8416988975396,0.055122143,12.89,7.083722684,1037.90375863555,3281.803019,707.5601977,298.84,0.0,4.25,0.0,6,2.0,6.46140850186366,44.41,4.42,13.57,22.2,43.7,15.6,19.2,41.5,53.0,0.6,0.7,2.0,2.1,46.900000000000006
6059086701,40.831776687082,0.046178296,11.21,23.91405801,591.823760292961,0.000479348,7990.432462,3796.1,12.25,19.0,0.135,0,0.2,6.88134914129391,56.09,4.06,10.83,14.6,36.4,10.5,19.6,56.6,22.8,2.2,0.2,16.7,1.5,77.2
6059087504,40.8306944679713,0.046178296,11.21,29.67,291.125378738392,0.0,77171.23603,3661.68,0.1,10.0,0.06,0,0.0,5.74849553325563,40.75,6.75,7.71,51.9,63.7,5.8,39.2,81.1,9.1,1.0,0.4,7.5,1.0,91.0
6019004505,40.8186699903296,0.062162956,15.4,39.97399989,681.195604236809,0.0,2339.43967,766.22,15.5,1.5,0.0,0,0.0,6.42415979638617,72.09,4.93,6.19,13.3,64.4,26.9,27.2,40.3,37.8,11.2,0.7,6.9,3.1,62.2
6037500300,40.8124751754456,0.046178296,12.05,23.4,761.43832243034,11.09659865,18560.98856,2388.42,7.9,5.0,0.85,3,4.9,8.72011346827287,67.85,2.96,12.5,6.59999999999999,18.4,8.3,18.6,58.7,23.0,1.7,0.1,14.6,1.8,76.9
