STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,FED_PER_STUDENT,STATE_PER_STUDENT,TOTAL_PER_STUDENT,PCT_IN_POVERTY,PCT_WITH_BA
IA,2009,487559.0,5732319.0,431142.0,2545353.0,242.59564400257702,284.170178554705,221.422298113147,260.244524519648,884.2868247740272,5220.605095998639,11757.180156657963,10.7,33.4907611
KS,2009,470445.0,5615208.0,378810.0,3291485.0,245.308653571101,288.596403041255,223.924213283757,254.738979931593,805.2163377227944,6996.5351954001,11935.950004782706,13.7,35.3128495
KY,2009,669858.0,6706922.0,719997.0,3870440.0,238.835902308004,279.284216093787,225.606242400736,264.837184984886,1074.8501921302723,5778.000710598366,10012.453385642928,17.0,26.7059575
LA,2009,662774.0,7984550.0,1238259.0,3568903.0,229.432455453722,272.379906697646,207.48613716309399,264.514002261585,1868.297489038496,5384.796325746031,12047.168416383262,14.3,25.298033
ME,2009,187372.0,2623127.0,245063.0,1107152.0,244.45573275395802,286.361425938805,223.790428000088,265.69124060951,1307.8955233439362,5908.8444378028735,13999.567704886536,11.4,29.1207498
MD,2009,843781.0,13147931.0,694846.0,5697257.0,243.795041028457,288.341565298202,226.047783920533,264.888126041644,823.4909295184414,6752.0565170346335,15582.16053691657,9.6,40.5890531
MA,2009,932437.0,15298022.0,1181681.0,5974489.0,252.25478970054797,298.854346618482,233.749463106304,266.799519310717,1267.3038500188215,6407.391598574489,16406.49395079775,10.8,50.766133
MI,2009,1537515.0,19616665.0,2094714.0,10130740.0,236.279719737382,278.268168151681,218.23555034441898,266.854019810768,1362.4023180261654,6589.034903724517,12758.682029118414,14.0,30.5606825
MN,2009,800831.0,10353784.0,575703.0,6590788.0,249.455534206082,294.443320106986,223.336661773101,253.329004007468,718.8820113107512,8229.93615382022,12928.800208783125,11.1,41.85748510000001
MS,2009,491194.0,4392101.0,675576.0,2334363.0,227.262260849183,265.001958154729,210.50651753667802,267.706499608477,1375.3751063734494,4752.425721812563,8941.682919579636,23.1,21.4245727
